theme,description,profile_link,author,github_stars,updated,license,theme_tags,theme-repo,theme-ref
Even,A super concise theme for Hugo,https://d33wubrfki0l68.cloudfront.net/dd0c8d75f7eb65c60a35462695733bb7718ea6de/4a82d/themes/hugo-theme-even/screenshot_huaa330ce4929f88668efe3422b762902a_47266_750x500_fill_catmullrom_top_2.png,olOwOlo,1586,2021-01-17,MIT,"['Blog', 'Responsive']",https://github.com/laozhu/hugo-nuo,https://themes.gohugo.io/themes/hugo-theme-even/
Hermit,A minimal and fast hugo theme for bloggers.,https://d33wubrfki0l68.cloudfront.net/7317f39d511bde620fa5a6ab43f89aecb624c00f/5719b/themes/hermit/screenshot_hud70f356643620209eeacd81031a6af80_48569_750x500_fill_catmullrom_top_2.png,Track3,883,2019-01-04,MIT,"['Blog', 'Dark', 'Minimal', 'Responsive', 'recent release of Hugo.', 'Version Configuration', 'tag a new version.']",https://github.com/feathericons/feather/blob/master/LICENSE,https://themes.gohugo.io/themes/hermit/
Book,Hugo documentation theme as simple as plain book,https://d33wubrfki0l68.cloudfront.net/ef280d7c29b5af7a9c1a280625426bb2ae4fb1e4/40e57/themes/hugo-book/screenshot_huec729d04f241cf6d25145f0e39e6c0fd_189080_750x500_fill_catmullrom_top_2.png,Alex Shpak,1489,2021-11-19,MIT,"['Docs', 'Multilingual', 'Responsive']",https://github.com/alex-shpak/hugo-book/graphs/contributors,https://themes.gohugo.io/themes/hugo-book/
Docsy,A Hugo theme for technical documentation sites,https://d33wubrfki0l68.cloudfront.net/b993080deb8168c9c56909bb8a24b13bc4b4960a/ca51f/themes/docsy/screenshot_hua9135189238b9d5f65960deb21cd5534_311057_750x500_fill_catmullrom_top_2.png,The Docsy Authors,1422,2021-11-24,Apache 2.0,"['Docs', 'Multilingual', 'Responsive']",https://github.com/google/docsy/blob/master/LICENSE,https://themes.gohugo.io/themes/docsy/
Academic,"The website builder for Hugo. Build *anything* with widgets and deploy with one click! Fully personalize your site with themes, plugins, and language packs.",https://d33wubrfki0l68.cloudfront.net/10beaf89a7c8ca802a32aaf5362b4acfd168f36a/2123a/themes/hugo-academic/screenshot_hud7608c6490536ac8ab050755ccd1fa70_104518_750x500_fill_catmullrom_top_2.png,George Cushen,6031,2020-03-06,MIT,"['Blog', 'Company', 'Contact', 'Dark', 'Docs', 'Gallery', 'Landing', 'Light', 'Minimal', 'Multilingual', 'Personal', 'Portfolio', 'Responsive']",https://github.com/igrigorik/ga-beacon,https://themes.gohugo.io/themes/hugo-academic/
LoveIt,"A Clean, Elegant but Advanced Hugo Theme for Hugo.",https://d33wubrfki0l68.cloudfront.net/d517dbad40cc0ab9de5ce443a95da428200bb5ea/d9d3a/themes/loveit/screenshot_hu19f9862791b119a6e319e806933fbd42_72251_750x500_fill_catmullrom_top_2.png,Dillon,1483,2020-05-29,MIT,"['Blog', 'Dark', 'Responsive']",https://github.com/dillonzq/LoveIt/raw/master/images/Wechat.jpg,https://themes.gohugo.io/themes/loveit/
hello-friend-ng,A simple theme for Hugo. That's it.,https://d33wubrfki0l68.cloudfront.net/2bc2bb62f363037e2ac7729fb3289afbfad574e1/23233/themes/hugo-theme-hello-friend-ng/screenshot_hu4843bf1335e89e1d731fe4eaba014523_55195_750x500_fill_catmullrom_top_2.png,Djordje Atlialp,1070,2021-10-15,MIT,"['Blog', 'Dark', 'Light', 'Minimal', 'Multilingual', 'Personal', 'Responsive']",https://github.com/rhazdon/hugo-theme-hello-friend-ng/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-hello-friend-ng/
Tranquilpeak,A gorgeous responsive theme for Hugo blog framework,https://d33wubrfki0l68.cloudfront.net/3cd8c18359d9c5fe0e08aa42a7939334ed2c1c74/ee316/themes/hugo-tranquilpeak-theme/screenshot_hu817c30019232711b6a0f59fbee583454_330151_750x500_fill_catmullrom_top_2.png,Thibaud Leprêtre,752,2021-10-06,GNU General Public License v3.0,"['Blog', 'Minimal', 'Personal', 'Responsive']",https://github.com/kakawait/hugo-tranquilpeak-theme/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-tranquilpeak-theme/
Beautiful Hugo,An adaptation of the Beautiful Jekyll theme,https://d33wubrfki0l68.cloudfront.net/b94cccb8db971fe92a18ba7d2ba6d90c7a36da5c/cc5c7/themes/beautifulhugo/screenshot_hu6330ad66f8b5e1a9cc0e32928b0427e6_102241_750x500_fill_catmullrom_top_2.png,halogenica,870,2021-01-06,MIT,"['Blog', 'Bootstrap', 'Company', 'Light', 'Minimal', 'Multilingual', 'Portfolio', 'Responsive']",https://github.com/halogenica/Hugo-BeautifulHugo/blob/master/LICENSE,https://themes.gohugo.io/themes/beautifulhugo/
Paper,"A simple, clean, flexible Hugo theme",https://d33wubrfki0l68.cloudfront.net/9b0e5f569cbcee881346af409f599de614e1d591/78a45/themes/hugo-paper/screenshot_hufaa35f8e2d1d966c4b7cea7efc0c1d4d_344701_750x500_fill_catmullrom_top_2.png,nanxiaobei,717,2021-09-25,MIT,"['Blog', 'Light', 'Responsive']",https://github.com/nanxiaobei/hugo-paper/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-paper/
Academic,"Use the website builder to easily build your site with 50+ widgets and deploy with one click! Fully customize your site with themes, plugins, and language packs.",https://d33wubrfki0l68.cloudfront.net/10beaf89a7c8ca802a32aaf5362b4acfd168f36a/3e6c6/themes/starter-academic/screenshot_hud7608c6490536ac8ab050755ccd1fa70_104518_750x500_fill_catmullrom_top_2.png,George Cushen,1680,2021-07-24,MIT,"['Blog', 'Company', 'Contact', 'Dark', 'Docs', 'Gallery', 'Landing', 'Light', 'Minimal', 'Multilingual', 'Personal', 'Portfolio', 'Responsive']",https://github.com/igrigorik/ga-beacon,https://themes.gohugo.io/themes/starter-academic/
Stack,Card-style Hugo theme designed for bloggers,https://d33wubrfki0l68.cloudfront.net/c317d25a2453f34a8f7cd26a5511ebb488639b81/05093/themes/hugo-theme-stack/screenshot_hu3a3d43638442b4410f8a7ad58b7acc37_51344_750x500_fill_catmullrom_top_2.png,Jimmy Cai,1279,2021-10-31,GPL-3.0-only,"['Blog', 'Dark', 'Light', 'Personal', 'Responsive']",https://github.com/MunifTanjim/minimo/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-stack/
Learn,"Documentation theme for Hugo, based on Grav Learn theme",https://d33wubrfki0l68.cloudfront.net/c588abe3dad8ada4945357cad35f455ff3c99e26/77239/themes/hugo-theme-learn/screenshot_hufe2da8fc83ad30ec674fecf911d5e6d9_284162_750x500_fill_catmullrom_top_2.png,Mathieu Cornic,1297,2021-10-28,MIT,['Docs'],https://github.com/github-tools/github-release-notes,https://themes.gohugo.io/themes/hugo-theme-learn/
PaperMod,"A fast, clean, responsive Hugo theme",https://d33wubrfki0l68.cloudfront.net/b4c26b0c833ae90902402c5e33180ffd796ad03e/7a397/themes/hugo-papermod/screenshot_huab9fa0133e300e3dd79a7b4ef7e429fe_141511_750x500_fill_catmullrom_top_2.png,Aditya Telange,2258,2021-11-20,MIT,"['Blog', 'Dark', 'Light', 'Minimal', 'Responsive']",https://github.com/simple-icons/simple-icons,https://themes.gohugo.io/themes/hugo-papermod/
terminal,"A simple, retro theme for Hugo.",https://d33wubrfki0l68.cloudfront.net/acfb79c0e748e38359c71051102ea55709eda19f/95259/themes/hugo-theme-terminal/screenshot_hu203da575df3dd0ed6f5c3ee4b3c3d1c5_448158_750x500_fill_catmullrom_top_2.png,panr,1071,2021-11-10,MIT,"['Blog', 'Dark', 'Landing', 'Minimal', 'Multilingual', 'Personal', 'Responsive']",https://github.com/panr/hugo-theme-terminal/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-terminal/
Coder,A simple and clean blog theme for Hugo,https://d33wubrfki0l68.cloudfront.net/dcf8fe7a733aeb99364fa7d9ad2ed45df5a6318a/1d773/themes/hugo-coder/screenshot_hu937b67f38a5983c07a562ced176b5b06_72410_750x500_fill_catmullrom_top_2.png,Luiz F. A. de Prá,1679,2021-11-23,MIT,"['Blog', 'Minimal', 'Personal', 'Responsive']",https://github.com/luizdepra/hugo-coder/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-coder/
hello-friend,A simple theme for Hugo. That's it.,https://d33wubrfki0l68.cloudfront.net/671c25130011aa99c3a94885baae9f56f7976315/8d5ca/themes/hugo-theme-hello-friend/screenshot_hua60d284ca8acad38698c1d6cfdc145a9_247796_750x500_fill_catmullrom_top_2.png,panr,712,2021-11-07,MIT,"['Blog', 'Dark', 'Light', 'Minimal', 'Multilingual', 'Personal', 'Responsive']",https://github.com/panr/hugo-theme-hello-friend/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-hello-friend/
